message_id,category,confidence,reason
MSG_0001,Meeting or Event,0.92,Contains meeting/event related information.
MSG_0002,Action Required,0.9,Requires user action.
MSG_0003,Meeting or Event,0.92,Contains meeting/event related information.
MSG_0004,General Information,0.75,No strong indicators found.
MSG_0005,Personal Information,0.9,Contains personal details.
MSG_0006,General Information,0.75,No strong indicators found.
MSG_0007,Personal Information,0.9,Contains personal details.
MSG_0008,General Information,0.75,No strong indicators found.
MSG_0009,General Information,0.75,No strong indicators found.
MSG_0010,General Information,0.75,No strong indicators found.
MSG_0011,Action Required,0.9,Requires user action.
MSG_0012,Action Required,0.9,Requires user action.
MSG_0013,General Information,0.75,No strong indicators found.
MSG_0014,Promotional,0.85,Promotional content detected.
MSG_0015,Action Required,0.9,Requires user action.
MSG_0016,General Information,0.75,No strong indicators found.
MSG_0017,General Information,0.75,No strong indicators found.
MSG_0018,General Information,0.75,No strong indicators found.
MSG_0019,Action Required,0.9,Requires user action.
MSG_0020,General Information,0.75,No strong indicators found.
MSG_0021,Meeting or Event,0.92,Contains meeting/event related information.
MSG_0022,General Information,0.75,No strong indicators found.
MSG_0023,Action Required,0.9,Requires user action.
MSG_0024,Meeting or Event,0.92,Contains meeting/event related information.
MSG_0025,General Information,0.75,No strong indicators found.
MSG_0026,Action Required,0.9,Requires user action.
MSG_0027,Action Required,0.9,Requires user action.
MSG_0028,Personal Information,0.9,Contains personal details.
MSG_0029,Personal Information,0.9,Contains personal details.
MSG_0030,General Information,0.75,No strong indicators found.
MSG_0031,Action Required,0.9,Requires user action.
MSG_0032,General Information,0.75,No strong indicators found.
MSG_0033,Meeting or Event,0.92,Contains meeting/event related information.
MSG_0034,Action Required,0.9,Requires user action.
MSG_0035,Action Required,0.9,Requires user action.
MSG_0036,Action Required,0.9,Requires user action.
MSG_0037,Action Required,0.9,Requires user action.
MSG_0038,Action Required,0.9,Requires user action.
MSG_0039,General Information,0.75,No strong indicators found.
MSG_0040,General Information,0.75,No strong indicators found.
MSG_0041,Meeting or Event,0.92,Contains meeting/event related information.
MSG_0042,Meeting or Event,0.92,Contains meeting/event related information.
MSG_0043,Meeting or Event,0.92,Contains meeting/event related information.
MSG_0044,Action Required,0.9,Requires user action.
MSG_0045,Action Required,0.9,Requires user action.
MSG_0046,Meeting or Event,0.92,Contains meeting/event related information.
MSG_0047,General Information,0.75,No strong indicators found.
MSG_0048,General Information,0.75,No strong indicators found.
MSG_0049,Meeting or Event,0.92,Contains meeting/event related information.
MSG_0050,Meeting or Event,0.92,Contains meeting/event related information.
MSG_0051,Meeting or Event,0.92,Contains meeting/event related information.
MSG_0052,Action Required,0.9,Requires user action.
MSG_0053,General Information,0.75,No strong indicators found.
MSG_0054,Action Required,0.9,Requires user action.
MSG_0055,Meeting or Event,0.92,Contains meeting/event related information.
MSG_0056,Meeting or Event,0.92,Contains meeting/event related information.
MSG_0057,Action Required,0.9,Requires user action.
MSG_0058,Action Required,0.9,Requires user action.
MSG_0059,General Information,0.75,No strong indicators found.
MSG_0060,Action Required,0.9,Requires user action.
MSG_0061,Personal Information,0.9,Contains personal details.
MSG_0062,Action Required,0.9,Requires user action.
MSG_0063,General Information,0.75,No strong indicators found.
MSG_0064,Meeting or Event,0.92,Contains meeting/event related information.
MSG_0065,Personal Information,0.9,Contains personal details.
MSG_0066,Meeting or Event,0.92,Contains meeting/event related information.
MSG_0067,Action Required,0.9,Requires user action.
MSG_0068,Action Required,0.9,Requires user action.
MSG_0069,General Information,0.75,No strong indicators found.
MSG_0070,Action Required,0.9,Requires user action.
MSG_0071,Action Required,0.9,Requires user action.
MSG_0072,Action Required,0.9,Requires user action.
MSG_0073,General Information,0.75,No strong indicators found.
MSG_0074,Sensitive Information,0.95,Contains sensitive information.
MSG_0075,General Information,0.75,No strong indicators found.
MSG_0076,General Information,0.75,No strong indicators found.
MSG_0077,Meeting or Event,0.92,Contains meeting/event related information.
MSG_0078,General Information,0.75,No strong indicators found.
MSG_0079,General Information,0.75,No strong indicators found.
MSG_0080,Promotional,0.85,Promotional content detected.
MSG_0081,General Information,0.75,No strong indicators found.
MSG_0082,Personal Information,0.9,Contains personal details.
MSG_0083,General Information,0.75,No strong indicators found.
MSG_0084,Meeting or Event,0.92,Contains meeting/event related information.
MSG_0085,Action Required,0.9,Requires user action.
MSG_0086,Sensitive Information,0.95,Contains sensitive information.
MSG_0087,Personal Information,0.9,Contains personal details.
MSG_0088,Action Required,0.9,Requires user action.
MSG_0089,Meeting or Event,0.92,Contains meeting/event related information.
MSG_0090,General Information,0.75,No strong indicators found.
MSG_0091,General Information,0.75,No strong indicators found.
MSG_0092,Action Required,0.9,Requires user action.
MSG_0093,General Information,0.75,No strong indicators found.
MSG_0094,General Information,0.75,No strong indicators found.
MSG_0095,Sensitive Information,0.95,Contains sensitive information.
MSG_0096,Meeting or Event,0.92,Contains meeting/event related information.
MSG_0097,Action Required,0.9,Requires user action.
MSG_0098,Action Required,0.9,Requires user action.
MSG_0099,General Information,0.75,No strong indicators found.
MSG_0100,Meeting or Event,0.92,Contains meeting/event related information.
MSG_0101,Personal Information,0.9,Contains personal details.
MSG_0102,Action Required,0.9,Requires user action.
MSG_0103,General Information,0.75,No strong indicators found.
MSG_0104,Promotional,0.85,Promotional content detected.
MSG_0105,Promotional,0.85,Promotional content detected.
